sample	vassar_worm	original_barcode
CHDDOG2015_00118	00118	6
CHDDOG2016_00142	00142	1
CHDDOG2016_00143	00143	6
CHDDOG2016_00145	00145	1
CHDDOG2016_00147	00147	1
CHDDOG2016_00152	00152	2
CHDDOG2016_00154	00154	6
CHDDOG2016_00156	00156	1
CHDDOG2016_00157	00157	1
CHDDOG2016_00161	00161	1
CHDDOG2016_00166	00166	6
CHDDOG2016_00167	00167	2
CHDDOG2016_00168	00168	6
CHDDOG2016_00169	00169	1
CHDDOG2016_00170	00170	1
CHDDOG2016_00172	00172	2
CHDDOG2016_00173	00173	6
CHDDOG2016_00174	00174	2
CHDDOG2016_00176	00176	6
CHDDOG2016_00177	00177	1
CHDDOG2016_00178	00178	1
CHDDOG2016_00740	00740	3
CHDDOG2016_00741	00741	3
CHDDOG2016_00742	00742	3
CHDDOG2016_00743	00743	3
CHDDOG2016_00749	00749	3
CHDDOG2016_00780	00780	3
CHDDOG2016_00781	00781	3
CHDDOG2016_00782	00782	4
CHDDOG2016_00823	00823	3
CHDDOG2016_00824	00824	4
CHDDOG2016_00858	00858	4
CHDDOG2016_00859	00859	3
CHDDOG2016_00860	00860	4
CHDDOG2016_00861	00861	4
CHDDOG2016_00862	00862	4
CHDDOG2016_00864	00864	3
CHDDOG2016_00866	00866	4
CHDDOG2016_00904	00904	3
CHDDOG2016_00911	00911	4
CHDDOG2016_00912	00912	4
CHDDOG2016_00922	00922	3
CHDDOG2016_00923	00923	3
CHDDOG2016_00979	00979	4
CHDDOG2016_01071	01071	4
CHDDOG2016_01075	01075	4
CHDDOG2017_02319	02319	5
CHDDOG2017_02323	02323	3
CHDDOG2017_02324	02324	1
CHDDOG2017_02328	02328	10
CHDDOG2017_02330	02330	9
CHDDOG2017_02332	02332	2
CHDDOG2017_02335	02335	9
CHDDOG2017_02338	02338	9
CHDDOG2017_02339	02339	3
CHDDOG2017_02343	02343	2
CHDDOG2017_02349	02349	3
CHDDOG2017_02352	02352	1
CHDDOG2017_02356	02356	9
CHDDOG2017_02370	02370	2
CHDDOG2017_02377	02377	3
CHDDOG2017_02383	02383	1
CHDDOG2017_02386	02386	1
CHDDOG2017_02387	02387	2
CHDDOG2017_02392	02392	3
CHDDOG2017_02393	02393	3
CHDDOG2017_02408	02408	3
CHDDOG2017_02411	02411	6
CHDDOG2017_02412	02412	6
CHDDOG2017_02414	02414	6
CHDDOG2017_02415	02415	6
CHDDOG2017_02416	02416	6
CHDDOG2017_02418	02418	6
CHDDOG2017_02420	02420	6
CHDDOG2017_02422	02422	6
CHDDOG2017_02425	02425	6
CHDDOG2017_02426	02426	6
CHDDOG2017_02430	02430	5
CHDDOG2017_02432	02432	8
CHDDOG2017_02434	02434	10
CHDDOG2017_02435	02435	1
CHDDOG2017_02439	02439	5
CHDDOG2017_02445	02445	1
CHDDOG2017_02451	02451	1
CHDDOG2017_02454	02454	8
CHDDOG2017_02455	02455	1
CHDDOG2017_02457	02457	1
CHDDOG2017_02458	02458	1
CHDDOG2017_02460	02460	2
CHDDOG2017_02461	02461	3
CHDDOG2017_02469	02469	5
CHDDOG2017_02470	02470	5
CHDDOG2017_02472	02472	2
CHDDOG2017_02481	02481	7
