sample	vassar_worm	original_barcode
CHDDOG2017_02484	02484	9
CHDDOG2017_02487	02487	2
CHDDOG2017_02491	02491	5
CHDDOG2017_02492	02492	5
CHDDOG2017_02493	02493	5
CHDDOG2017_02494	02494	5
CHDDOG2017_02495	02495	5
CHDDOG2017_02501	02501	3
CHDDOG2017_02504	02504	1
CHDDOG2017_02505	02505	6
CHDDOG2017_02511	02511	1
CHDDOG2017_02512	02512	2
CHDDOG2017_02516	02516	1
CHDDOG2017_02518	02518	1
CHDDOG2017_02519	02519	6
CHDDOG2017_02522	02522	4
CHDDOG2017_02525	02525	4
CHDDOG2017_02527	02527	4
CHDDOG2017_02542	02542	3
CHDDOG2017_02552	02552	11
CHDDOG2017_02553	02553	3
CHDDOG2017_02554	02554	3
CHDDOG2017_02555	02555	10
CHDDOG2017_02556	02556	3
CHDDOG2017_02557	02557	10
CHDDOG2017_02559	02559	8
CHDDOG2017_02581	02581	4
CHDDOG2017_02586	02586	2
CHDDOG2017_02587	02587	10
CHDDOG2017_02588	02588	11
CHDDOG2017_02589	02589	4
CHDDOG2017_02591	02591	4
CHDDOG2017_02596	02596	4
CHDDOG2017_02597	02597	11
CHDDOG2017_02598	02598	9
CHDDOG2017_02599	02599	10
CHDDOG2017_02606	02606	3
CHDDOG2017_02618	02618	1
CHDDOG2017_02620	02620	2
CHDDOG2017_02622	02622	1
CHDDOG2017_02623	02623	6
CHDDOG2017_02624	02624	2
CHDDOG2017_02625	02625	1
CHDDOG2017_02629	02629	1
CHDDOG2017_02630	02630	1
CHDDOG2017_02634	02634	1
CHDDOG2017_02635	02635	1
CHDDOG2017_02637	02637	4
CHDDOG2017_02640	02640	11
CHDDOG2017_02646	02646	4
CHDDOG2017_02649	02649	2
CHDDOG2017_02656	02656	4
CHDDOG2017_02663	02663	3
CHDDOG2017_02664	02664	4
CHDDOG2017_02667	02667	3
CHDDOG2017_02669	02669	1
CHDDOG2017_02670	02670	4
CHDDOG2017_02671	02671	5
CHDDOG2017_02677	02677	3
CHDDOG2017_02689	02689	7
CHDDOG2017_02691	02691	7
CHDDOG2017_02693	02693	7
CHDDOG2017_02694	02694	7
CHDDOG2017_02695	02695	7
CHDDOG2017_02697	02697	7
CHDDOG2017_02707	02707	2
CHDDOG2017_02708	02708	1
CHDDOG2017_02710	02710	1
CHDDOG2017_02711	02711	2
CHDDOG2017_02714	02714	8
CHDDOG2017_02721	02721	1
CHDDOG2017_02724	02724	2
CHDDOG2017_02725	02725	2
CHDDOG2017_02728	02728	5
CHDDOG2017_02729	02729	5
CHDDOG2017_02749	02749	4
CHDDOG2017_02751	02751	3
CHDDOG2017_02752	02752	3
CHDDOG2017_02760	02760	7
CHDDOG2017_02761	02761	8
CHDDOG2017_02773	02773	5
CHDDOG2017_02774	02774	5
CHDDOG2017_02789	02789	1
CHDDOG2017_02790	02790	3
CHDDOG2017_02793	02793	3
CHDDOG2017_02803	02803	2
CHDDOG2017_02804	02804	7
CHDDOG2017_02805	02805	4
CHDDOG2017_02806	02806	7
CHDDOG2017_02808	02808	3
CHDDOG2017_02810	02810	2
CHDDOG2017_02813	02813	1
CHDDOG2017_02818	02818	11
CHDDOG2017_02819	02819	3
CHDDOG2017_02822	02822	2
CHDDOG2017_02823	02823	2
CHDDOG2017_02826	02826	2
CHDDOG2017_02827	02827	8
CHDDOG2017_02830	02830	5
CHDDOG2017_02834	02834	2
CHDDOG2017_02836	02836	1
CHDDOG2017_02839	02839	3
CHDDOG2017_02841	02841	3
CHDDOG2017_02846	02846	3
CHDDOG2017_02849	02849	4
CHDDOG2017_02854	02854	10
CHDDOG2017_02863	02863	3
CHDDOG2017_02867	02867	4
CHDDOG2017_02868	02868	4
CHDDOG2017_02870	02870	2
CHDDOG2017_02881	02881	5
CHDDOG2017_02902	02902	7
CHDDOG2017_02905	02905	3
CHDDOG2017_02906	02906	3
CHDDOG2017_02911	02911	4
CHDDOG2017_02912	02912	8
CHDDOG2017_02914	02914	3
CHDDOG2017_02915	02915	3
CHDDOG2017_02918	02918	3
CHDDOG2017_02929	02929	1
CHDDOG2017_02940	02940	5
CHDDOG2017_02949	02949	7
CHDDOG2017_02950	02950	7
CHDDOG2017_02951	02951	7
CHDDOG2017_02954	02954	8
CHDDOG2017_02971	02971	5
CHDDOG2017_02984	02984	5
CHDDOG2017_03010	03010	5
CHDDOG2017_03015	03015	5
CHDDOG2017_03023	03023	2
CHDDOG2017_03026	03026	2
CHDDOG2017_03065	03065	1
CHDDOG2017_03071	03071	5
CHDDOG2017_03102	03102	5
CHDDOG2017_03123	03123	9
CHDDOG2017_03124	03124	9
CHDDOG2017_03129	03129	5
CHDDOG2017_03165	03165	5
CHDDOG2017_03170	03170	5
CHDDOG2017_03172	03172	5
CHDDOG2017_03198	03198	5
CHDDOG2017_03210	03210	9
CHD2015_00614	00614	3
CHD2015_00615	00615	6
CHDHUM2016_00282	00282	6
CHDHUM2018_00352	00352	10
CHDHUM2018_00364	00364	8
CHDDOG2016_00135	00135	6
CHDDOG2016_00136	00136	6
CHDDOG2016_00139	00139	6
CHDDOG2016_00140	00140	2
CHDDOG2016_00205	00205	1
CHDDOG2016_00206	00206	1
CHDDOG2016_00207	00207	1
CHD2016_00618	00618	2
CHDHUM2018_00344	00344	2
CHDHUM2018_00346	00346	2
CHDHUM2018_00347	00347	7
CHDDOG2016_00137	00137	1
CHDDOG2016_00182	00182	1
CHDDOG2016_00185	00185	1
CHDDOG2016_00186	00186	2
CHDDOG2016_00187	00187	6
CHDDOG2016_00188	00188	1
CHDDOG2016_00191	00191	1
CHDDOG2016_00192	00192	2
CHDDOG2016_00193	00193	1
CHDDOG2016_00194	00194	1
CHDDOG2016_00196	00196	1
CHDDOG2016_00197	00197	1
CHDDOG2016_00198	00198	2
CHDDOG2016_00200	00200	8
CHDDOG2016_00201	00201	1
CHDDOG2016_00202	00202	1
CHDDOG2016_00204	00204	6
CHDDOG2016_00208	00208	2
CHDDOG2016_00209	00209	1
CHDDOG2016_00210	00210	6
CHDDOG2016_00211	00211	8
CHDDOG2016_00213	00213	2
CHDDOG2016_00214	00214	1
CHDDOG2016_00218	00218	1
CHDDOG2016_00219	00219	1
CHDDOG2016_00220	00220	1
CHDDOG2016_00221	00221	1
CHDDOG2016_00223	00223	1
CHDDOG2016_00224	00224	1
CHDDOG2016_00225	00225	2
CHDDOG2016_00226	00226	2
CHDDOG2016_00227	00227	1
CHDDOG2016_00228	00228	1
CHDDOG2016_00229	00229	1
CHDDOG2016_00230	00230	1
CHDDOG2016_00231	00231	1
CHDDOG2016_00233	00233	1
CHDDOG2016_00235	00235	1
CHDDOG2016_00236	00236	2
CHDDOG2016_00237	00237	2
CHDDOG2016_00238	00238	1
CHDDOG2016_00239	00239	1
CHDDOG2016_00241	00241	1
CHDDOG2016_00242	00242	2
CHDDOG2016_00243	00243	2
CHDDOG2016_00244	00244	1
CHDDOG2016_00245	00245	1
CHDDOG2016_00246	00246	1
CHDDOG2016_00247	00247	1
CHDDOG2016_00248	00248	1
CHDDOG2016_00249	00249	1
CHDDOG2016_00250	00250	1
CHDDOG2016_00251	00251	2
CHDDOG2016_00252	00252	2
CHDDOG2016_00253	00253	1
CHDDOG2016_00254	00254	1
CHDDOG2016_00255	00255	2
CHDDOG2016_00256	00256	1
CHDDOG2016_00257	00257	2
CHDDOG2016_00258	00258	1
CHDDOG2016_00259	00259	2
CHDDOG2016_00260	00260	1
CHDDOG2016_00261	00261	1
CHDDOG2016_00262	00262	1
CHDDOG2016_00263	00263	1
CHDDOG2016_00266	00266	1
CHDDOG2016_00267	00267	1
CHDDOG2017_02361	02361	1
CHDDOG2017_02363	02363	2
CHDDOG2017_02364	02364	1
CHDDOG2017_02368	02368	1
CHDDOG2017_02371	02371	6
CHDDOG2017_02380	02380	4
CHDDOG2017_02397	02397	2
CHDDOG2017_02399	02399	2
CHDDOG2017_02402	02402	2
CHDDOG2017_02403	02403	1
CHDDOG2017_02489	02489	1
CHDDOG2017_02567	02567	1
CHDDOG2017_02571	02571	1
CHDDOG2017_02572	02572	1
CHDDOG2017_02573	02573	1
CHDDOG2017_02575	02575	1
CHDDOG2017_02580	02580	2
CHDDOG2017_02600	02600	4
CHDDOG2017_02607	02607	4
CHDDOG2017_02610	02610	4
CHDDOG2017_02613	02613	1
CHDDOG2017_02652	02652	8
CHDDOG2017_02653	02653	1
CHDDOG2017_02674	02674	5
CHDDOG2017_02678	02678	1
CHDDOG2017_02680	02680	1
CHDDOG2017_02686	02686	2
CHDDOG2017_02780	02780	1
CHDDOG2017_02787	02787	4
CHDDOG2017_02820	02820	1
CHDDOG2017_02833	02833	4
CHDDOG2017_02899	02899	5
CHDDOG2017_02933	02933	1
CHDDOG2017_03043	03043	5
CHDDOG2017_03044	03044	5
CHDDOG2017_03222	03222	9
