ena_accession	sample	unit	fq1	fq2	
ERR1081346	DOG14-5	1	/full/path/to/fastq/ERR1081346_1.fastq.gz	/full/path/to/fastq/ERR1081346_2.fastq.gz	
ERR1081347	DOG14-6	1	/full/path/to/fastq/ERR1081347_1.fastq.gz	/full/path/to/fastq/ERR1081347_2.fastq.gz
ERR1081348	DOG14-7	1	/full/path/to/fastq/ERR1081348_1.fastq.gz	/full/path/to/fastq/ERR1081348_2.fastq.gz
ERR1081351	DOG15-2	1	/full/path/to/fastq/ERR1081351_1.fastq.gz	/full/path/to/fastq/ERR1081351_2.fastq.gz
ERR1243216	DOG15-2	2	/full/path/to/fastq/ERR1243216_1.fastq.gz	/full/path/to/fastq/ERR1243216_2.fastq.gz
